iter	Passed	Remaining
290	586	1427
291	586	1423
292	587	1418
293	589	1414
294	593	1419
295	594	1414
296	595	1409
297	596	1405
298	597	1401
299	599	1397
300	600	1394
301	601	1389
302	602	1385
303	603	1381
304	604	1377
305	608	1379
306	609	1374
307	609	1370
308	610	1366
309	611	1362
310	613	1358
311	613	1353
312	615	1350
313	616	1347
314	618	1344
315	623	1349
316	624	1345
317	625	1341
318	626	1337
319	627	1333
320	628	1329
321	629	1325
322	630	1322
323	632	1318
324	633	1315
325	638	1319
326	639	1316
327	640	1312
328	641	1308
329	642	1304
330	643	1300
331	644	1296
332	645	1292
333	646	1289
334	648	1286
335	649	1283
336	652	1282
337	653	1279
338	654	1275
339	655	1271
340	656	1268
341	657	1264
342	658	1261
343	659	1258
344	661	1255
345	662	1251
346	664	1249
347	665	1246
348	666	1243
349	667	1240
350	668	1236
351	669	1232
352	670	1228
353	672	1226
354	673	1223
355	674	1219
356	679	1224
357	680	1220
358	681	1217
359	682	1213
360	683	1209
361	684	1206
362	685	1202
363	686	1199
364	687	1196
365	689	1193
366	693	1196
367	695	1193
368	696	1190
369	697	1186
370	697	1183
371	698	1179
372	699	1176
373	700	1172
374	701	1169
375	703	1166
376	704	1163
377	709	1167
378	710	1164
379	711	1161
380	712	1157
381	713	1154
382	714	1150
383	715	1147
384	716	1144
385	717	1140
386	717	1137
387	718	1133
388	719	1130
389	721	1129
390	722	1126
391	723	1122
392	725	1120
393	728	1120
394	729	1117
395	730	1113
396	731	1110
397	732	1107
398	733	1104
399	733	1100
400	739	1103
401	740	1101
402	741	1098
403	742	1095
404	744	1093
405	745	1091
406	747	1088
407	747	1085
408	748	1082
409	753	1084
410	755	1081
411	755	1078
412	756	1075
413	757	1072
414	759	1070
415	760	1067
416	761	1064
417	762	1061
418	763	1059
419	764	1055
420	769	1058
421	770	1055
422	771	1052
423	772	1049
424	773	1046
425	774	1044
426	775	1041
427	777	1038
428	778	1035
429	778	1032
430	779	1029
431	784	1031
432	785	1029
433	786	1026
434	787	1023
435	788	1020
436	790	1018
437	791	1015
438	792	1012
439	793	1009
440	794	1006
441	798	1007
442	800	1006
443	800	1003
444	801	1000
445	802	997
446	803	994
447	805	992
448	806	989
449	807	987
450	808	984
451	809	981
452	813	982
453	815	980
454	815	977
455	816	974
456	817	971
